 
59°54′48″ 10°44′20″
58°28′42″ 06°03′47″
58°58′12″ 05°43′53″
59°26′47″ 05°17′54″
58°51′06″ 05°44′10″
58°21′54″ 06°18′37″
58°31′11″ 06°27′41″
58°39′25″ 06°08′48″
58°36′23″ 05°43′29″
58°46′38″ 05°35′48″
58°43′22″ 05°45′55″
58°46′55″ 06°00′31″
58°52′48″ 05°37′43″
59°00′06″ 05°36′55″
59°03′48″ 06°01′40″
59°13′02″ 06°20′27″
59°28′06″ 06°29′59″
59°41′15″ 06°26′14″
59°03′44″ 05°24′42″
59°12′01″ 05°25′23″
59°21′42″ 05°32′34″
59°15′23″ 05°14′57″
59°18′26″ 04°53′10″
59°32′44″ 05°49′05″
63°06′37″ 07°43′40″
62°45′23″ 07°14′19″
62°28′40″ 06°11′25″
62°03′38″ 05°41′51″
62°15′30″ 05°25′53″
62°21′20″ 05°32′40″
62°21′23″ 05°51′14″
62°21′51″ 06°00′05″
62°12′01″ 06°07′56″
62°11′29″ 06°56′56″
62°22′32″ 06°38′39″
62°25′29″ 06°12′22″
62°33′45″ 06°06′07″
62°35′04″ 07°01′06″
62°30′17″ 07°46′55″
62°49′43″ 06°50′45″
62°59′50″ 07°33′19″
62°54′59″ 07°55′09″
62°57′13″ 08°13′5″
62°36′46″ 08°38′03″
62°56′51″ 08°46′12″
63°24′07″ 08°01′45″
63°16′07″ 08°36′28″
62°05′16″ 06°00′51″
62°18′13″ 7°15′28″
62°55′00″ 7°13′39″
67°16′58″ 14°22′30″
68°25′14″ 17°33′36″
65°05′48″ 12°35′19″
65°19′25″ 12°10′38″
65°28′33″ 12°24′01″
65°40′31″ 11°57′28″
65°40′06″ 12°31′07″
65°59′55″ 12°13′02″
65°57′24″ 12°34′22″
66°06′46″ 13°07′51″
65°47′57″ 13°15′02″
65°24′02″ 13°30′38″
65°32′51″ 14°08′04″
66°05′29″ 12°31′33″
66°15′28″ 13°02′06″
66°03′15″ 14°01′50″
66°22′19″ 14°20′34″
66°25′55″ 12°51′18″
66°30′27″ 12°01′51″
66°35′36″ 13°21′34″
66°47′17″ 13°40′33″
67°01′24″ 14°04′38″
66°55′02″ 14°40′29″
66°55′12″ 15°33′36″
67°13′14″ 15°48′31″
67°13′14″ 15°48′31″
67°47′54″ 15°10′19″
68°24′15″ 15°34′17″
68°32′11″ 16°55′55″
67°31′12″ 12°05′56″
67°40′23″ 12°40′09″
68°04′45″ 13°16′28″
68°13′17″ 13°47′04″
68°16′41″ 14°31′15″
68°32′06″ 14°49′30″
68°41′43″ 14°34′46″
68°53′18″ 15°11′00″
68°42′31″ 15°16′51″
69°05′40″ 15°45′52″
67°55′31″ 12°57′32″
68°04′33″ 15°46′56″
59°7′35″ 11°28′58″
59°27′33″ 10°42′3″
59°17′09″ 11°06′43″
59°12′19″ 10°57′0″
59°44′16″ 10°12′18″
59°40′10″ 09°39′06″
60°12′19″ 10°9′9″
59°3′23″ 11°1′20″
59°13′23″ 11°41′44″
59°30′40″ 11°37′42″
59°34′56″ 11°10′13″
59°28′50″ 11°8′40″
59°22′23″ 11°25′13″
59°20′56″ 10°51′18″
59°28′21″ 10°55′1″
59°34′30″ 10°43′55″
59°45′00″ 10°52′00″
59°39′37″ 10°47′1″
59°41′56″ 10°39′19″
59°48′31″ 10°39′20″
59°56′18″ 10°30′24″
59°50′7″ 10°26′6″
59°50′24″ 11°34′6″
59°53′21″ 11°4′31″
59°46′27″ 11°6′7″
59°53′56″ 10°57′51″
59°57′ 11°05′
60°4′23″ 10°52′20″
60°4′57″ 11°0′52″
60°10′15″ 11°11′17″
60°7′51″ 11°29′21″
60°21′ 11°15′
60°14′44″ 10°57′10″
60°24′57″ 11°0′31″
60°2′52″ 10°17′28″
60°24′31″ 9°29′3″
60°33′30″ 9°6′4″
60°45′1″ 8°59′5″
60°54′21″ 8°30′53″
60°37′49″ 8°33′40″
60°34′18″ 8°4′18″
60°3′9″ 9°36′4″
60°11′42″ 9°39′52″
59°57′27″ 9°58′58″
59°46′19″ 9°50′10″
59°47′38″ 10°15′58″
59°50′52″ 9°28′56″
60°1′2″ 9°14′2″
60°18′26″ 8°48′20″
60°16′16″ 10°24′7″
60°15′10″ 10°40′2″
60°14′35″ 12°13′32″
60°47′57″ 11°3′22″
61°7′ 10°28′
60°47′33″ 10°41′42″
61°1′27″ 10°48′7″
60°49′31″ 11°23′27″
60°42′57″ 11°11′25″
60°26′32″ 11°34′5″
60°14′12″ 11°44′44″
59°59′53″ 12°3′38″
60°27′23″ 12°03′30″
60°39′13″ 12°9′11″
60°45′12″ 11°53′51″
60°55′39″ 11°42′55″
61°18′36″ 12°18′54″
61°8′47″ 11°24′57″
61°38′6″ 10°52′27″
61°51′34″ 11°10′34″
61°53′ 12°2′
62°24′5″ 11°1′20″
62°16′31″ 10°49′57″
62°4′18″ 10°30′27″
62°11′57″ 10°2′7″
62°28′34″ 11°14′35″
62°2′6″ 9°28′3″
62°12′38″ 8°38′41″
61°56′10″ 7°57′37″
61°48′39″ 8°38′21″
61°50′55″ 9°7′16″
61°39′32″ 9°43′40″
61°49′1″ 9°34′24″
61°34′8″ 9°55′24″
61°32′8″ 10°18′29″
61°15′55″ 10°24′48″
61°16′36″ 9°55′21″
60°36′48″ 10°54′58″
60°39′10″ 10°35′46″
60°26′28″ 10°29′44″
60°40′37″ 10°16′44″
60°55′55″ 10°1′2″
60°41′47″ 9°39′32″
60°58′2″ 9°39′13″
60°57′35″ 9°15′51″
61°3′38″ 8°55′2″
61°14′11″ 9°8′37″
61°12′52″ 8°30′15″
59°25′15″ 10°25′58″
59°29′43″ 10°14′55″
59°17′53″ 10°25′25″
59°7′50″ 10°13′00″
59°4′52″ 10°0′59″
59°6′56″ 9°42′36″
59°12′29″ 9°33′10″
59°37′46″ 9°11′29″
59°10′ 10°24′
59°17′51″ 9°42′23″
59°1′11″ 9°33′39″
58°53′13″ 9°20′49″
59°7′24″ 8°58′55″
59°17′5″ 9°7′26″
59°27′00″ 9°06′00″
60°0′33″ 8°33′34″
59°39′54″ 8°43′34″
59°30′48″ 8°38′56″
59°23′54″ 8°29′42″
59°4′35″ 8°31′6″
59°9′57″ 8°1′11″
59°25′2″ 7°58′43″
59°48′5″ 7°46′45″
58°43′35″ 09°11′40″
58°21′07″ 08°32′40″
58°27′39″ 08°45′59″
58°8′50″ 7°59′50″
58°06′15″ 07°17′20″
58°04′58″ 06°45′10″
58°19′38″ 06°40′00″
58°53′33″ 08°57′24″
58°46′32″ 08°49′56″
58°37′26″ 08°55′40″
58°34′59″ 08°34′20″
58°14′49″ 08°19′01″
58°26′58″ 08°14′00″
58°47′53″ 08°22′9″
