
Oslo	59°54′48″N	10°44′20″E
Eigersund	58°28′42″N	06°03′47″E
Stavanger	58°58′12″N	05°43′53″E
Haugesund	59°26′47″N	05°17′54″E
Sandnes	58°51′06″N	05°44′10″E
Sokndal	58°21′54″N	06°18′37″E
Lund	58°31′11″N	06°27′41″E
Bjerkreim	58°39′25″N	06°08′48″E
Hå	58°36′23″N	05°43′29″E
Klepp	58°46′38″N	05°35′48″E
Time	58°43′22″N	05°45′55″E
Gjesdal	58°46′55″N	06°00′31″E
Sola	58°52′48″N	05°37′43″E
Randaberg	59°00′06″N	05°36′55″E
Strand	59°03′48″N	06°01′40″E
Hjelmeland	59°13′02″N	06°20′27″E
Suldal	59°28′06″N	06°29′59″E
Sauda	59°41′15″N	06°26′14″E
Kvitsøy	59°03′44″N	05°24′42″E
Bokn	59°12′01″N	05°25′23″E
Tysvær	59°21′42″N	05°32′34″E
Karmøy	59°15′23″N	05°14′57″E
Utsira	59°18′26″N	04°53′10″E
Vindafjord	59°32′44″N	05°49′05″E
Kristiansund	63°06′37″N	07°43′40″E
Molde	62°45′23″N	07°14′19″E
Ålesund	62°28′40″N	06°11′25″E
Vanylven	62°03′38″N	05°41′51″E
Sande	62°15′30″N	05°25′53″E
Herøy	62°21′20″N	05°32′40″E
Ulstein	62°21′23″N	05°51′14″E
Hareid	62°21′51″N	06°00′05″E
Ørsta	62°12′01″N	06°07′56″E
Stranda	62°11′29″N	06°56′56″E
Sykkylven	62°22′32″N	06°38′39″E
Sula	62°25′29″N	06°12′22″E
Giske	62°33′45″N	06°06′07″E
Vestnes	62°35′04″N	07°01′06″E
Rauma	62°30′17″N	07°46′55″E
Aukra	62°49′43″N	06°50′45″E
Averøy	62°59′50″N	07°33′19″E
Gjemnes	62°54′59″N	07°55′09″E
Tingvoll	62°57′13″N	08°13′5″E
Sunndal	62°36′46″N	08°38′03″E
Surnadal	62°56′51″N	08°46′12″E
Smøla	63°24′07″N	08°01′45″E
Aure	63°16′07″N	08°36′28″E
Volda	62°05′16″N	06°00′51″E
Fjord	62°18′13″N	7°15′28″E
Hustadvika	62°55′00″N	7°13′39″E
Bodø	67°16′58″N	14°22′30″E
Narvik	68°25′14″N	17°33′36″E
Bindal	65°05′48″N	12°35′19″E
Sømna	65°19′25″N	12°10′38″E
Brønnøy	65°28′33″N	12°24′01″E
Vega	65°40′31″N	11°57′28″E
Vevelstad	65°40′06″N	12°31′07″E
Herøy	65°59′55″N	12°13′02″E
